"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","INDPROD","MFG","IDX2015","A","2014",97.14741,"P"
"MEX","INDPROD","MFG","IDX2015","A","2015",100,"P"
"MEX","INDPROD","MFG","IDX2015","A","2016",101.5523,"P"
"MEX","INDPROD","MFG","IDX2015","A","2017",104.3798,"P"
"NLD","INDPROD","MFG","IDX2015","A","2010",96.92551,
"NLD","INDPROD","MFG","IDX2015","A","2011",100.125,
"NLD","INDPROD","MFG","IDX2015","A","2012",99.40843,
"NLD","INDPROD","MFG","IDX2015","A","2013",98.35027,
"NLD","INDPROD","MFG","IDX2015","A","2014",99.39177,
"NLD","INDPROD","MFG","IDX2015","A","2015",100,
"NLD","INDPROD","MFG","IDX2015","A","2016",102.9495,
"NLD","INDPROD","MFG","IDX2015","A","2017",106.3073,
"NZL","INDPROD","MFG","IDX2015","A","2010",95.37012,
"NZL","INDPROD","MFG","IDX2015","A","2011",94.08595,
"NZL","INDPROD","MFG","IDX2015","A","2012",95.25271,
"NZL","INDPROD","MFG","IDX2015","A","2013",96.02503,
"NZL","INDPROD","MFG","IDX2015","A","2014",98.21248,
"NZL","INDPROD","MFG","IDX2015","A","2015",100,
"NZL","INDPROD","MFG","IDX2015","A","2016",103.0652,
"NZL","INDPROD","MFG","IDX2015","A","2017",105.0053,
"NOR","INDPROD","MFG","IDX2015","A","2010",93.24847,
"NOR","INDPROD","MFG","IDX2015","A","2011",94.57767,
"NOR","INDPROD","MFG","IDX2015","A","2012",96.67346,
"NOR","INDPROD","MFG","IDX2015","A","2013",99.79605,
"NOR","INDPROD","MFG","IDX2015","A","2014",103.1999,
"NOR","INDPROD","MFG","IDX2015","A","2015",100,
"NOR","INDPROD","MFG","IDX2015","A","2016",95.43568,
"NOR","INDPROD","MFG","IDX2015","A","2017",95.56228,
"POL","INDPROD","MFG","IDX2015","A","2010",80.60162,
"POL","INDPROD","MFG","IDX2015","A","2011",86.78443,
"POL","INDPROD","MFG","IDX2015","A","2012",88.06766,
"POL","INDPROD","MFG","IDX2015","A","2013",90.3758,
"POL","INDPROD","MFG","IDX2015","A","2014",94.51712,
"POL","INDPROD","MFG","IDX2015","A","2015",100,
"POL","INDPROD","MFG","IDX2015","A","2016",104.1163,
"POL","INDPROD","MFG","IDX2015","A","2017",111.749,
"PRT","INDPROD","MFG","IDX2015","A","2010",100.0775,
"PRT","INDPROD","MFG","IDX2015","A","2011",98.58415,
"PRT","INDPROD","MFG","IDX2015","A","2012",95.94526,
"PRT","INDPROD","MFG","IDX2015","A","2013",95.86283,
"PRT","INDPROD","MFG","IDX2015","A","2014",97.63126,
"PRT","INDPROD","MFG","IDX2015","A","2015",100,
"PRT","INDPROD","MFG","IDX2015","A","2016",99.97166,
"PRT","INDPROD","MFG","IDX2015","A","2017",103.5125,
"SVK","INDPROD","MFG","IDX2015","A","2010",77.67128,
"SVK","INDPROD","MFG","IDX2015","A","2011",83.0055,
"SVK","INDPROD","MFG","IDX2015","A","2012",88.23137,
"SVK","INDPROD","MFG","IDX2015","A","2013",90.09835,
"SVK","INDPROD","MFG","IDX2015","A","2014",93.49892,
"SVK","INDPROD","MFG","IDX2015","A","2015",100,
"SVK","INDPROD","MFG","IDX2015","A","2016",105.0425,
"SVK","INDPROD","MFG","IDX2015","A","2017",108.2597,
"ESP","INDPROD","MFG","IDX2015","A","2010",104.8412,
"ESP","INDPROD","MFG","IDX2015","A","2011",103.1619,
"ESP","INDPROD","MFG","IDX2015","A","2012",95.3735,
"ESP","INDPROD","MFG","IDX2015","A","2013",94.04308,
"ESP","INDPROD","MFG","IDX2015","A","2014",96.17883,
"ESP","INDPROD","MFG","IDX2015","A","2015",100,
"ESP","INDPROD","MFG","IDX2015","A","2016",102.2992,
"ESP","INDPROD","MFG","IDX2015","A","2017",105.5076,
"SWE","INDPROD","MFG","IDX2015","A","2010",106.2005,
"SWE","INDPROD","MFG","IDX2015","A","2011",109.0591,
"SWE","INDPROD","MFG","IDX2015","A","2012",104.0253,
"SWE","INDPROD","MFG","IDX2015","A","2013",99.49996,
"SWE","INDPROD","MFG","IDX2015","A","2014",97.09142,
"SWE","INDPROD","MFG","IDX2015","A","2015",100,
"SWE","INDPROD","MFG","IDX2015","A","2016",102.7502,
"SWE","INDPROD","MFG","IDX2015","A","2017",106.9089,
"CHE","INDPROD","MFG","IDX2015","A","2010",95.87397,
"CHE","INDPROD","MFG","IDX2015","A","2011",98.5577,
"CHE","INDPROD","MFG","IDX2015","A","2012",99.0191,
"CHE","INDPROD","MFG","IDX2015","A","2013",99.9237,
"CHE","INDPROD","MFG","IDX2015","A","2014",101.7678,
"CHE","INDPROD","MFG","IDX2015","A","2015",100,
"CHE","INDPROD","MFG","IDX2015","A","2016",100.3164,
"CHE","INDPROD","MFG","IDX2015","A","2017",106.0356,
"TUR","INDPROD","MFG","IDX2015","A","2010",67.575,
"TUR","INDPROD","MFG","IDX2015","A","2011",78.43333,
"TUR","INDPROD","MFG","IDX2015","A","2012",81.94167,
"TUR","INDPROD","MFG","IDX2015","A","2013",88.08334,
"TUR","INDPROD","MFG","IDX2015","A","2014",93.84167,
"TUR","INDPROD","MFG","IDX2015","A","2015",100,
"TUR","INDPROD","MFG","IDX2015","A","2016",103.425,
